BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
"202410","강원특별자치도 강릉시","51150","35011"
"202410","강원특별자치도 고성군","51820","31861"
"202410","강원특별자치도 동해시","51170","35174"
"202410","강원특별자치도 삼척시","51230","33787"
"202410","강원특별자치도 속초시","51210","34630"
"202410","강원특별자치도 양구군","51800","34713"
"202410","강원특별자치도 양양군","51830","33421"
"202410","강원특별자치도 영월군","51750","33310"
"202410","강원특별자치도 원주시","51130","36276"
"202410","강원특별자치도 인제군","51810","34502"
"202410","강원특별자치도 정선군","51770","33508"
"202410","강원특별자치도 철원군","51780","34503"
"202410","강원특별자치도 춘천시","51110","35647"
"202410","강원특별자치도 태백시","51190","34380"
"202410","강원특별자치도 평창군","51760","33744"
"202410","강원특별자치도 홍천군","51720","33724"
"202410","강원특별자치도 화천군","51790","33488"
"202410","강원특별자치도 횡성군","51730","33218"
"202410","경기도 가평군","41820","33900"
"202410","경기도 고양시 덕양구","41281","38589"
"202410","경기도 고양시 일산동구","41285","41646"
"202410","경기도 고양시 일산서구","41287","40850"
"202410","경기도 과천시","41290","50711"
"202410","경기도 광명시","41210","38845"
"202410","경기도 광주시","41610","36610"
"202410","경기도 구리시","41310","37980"
"202410","경기도 군포시","41410","37907"
"202410","경기도 김포시","41570","39110"
"202410","경기도 남양주시","41360","37453"
"202410","경기도 동두천시","41250","32206"
"202410","경기도 부천시 소사구","41194","35826"
"202410","경기도 부천시 오정구","41196","33091"
"202410","경기도 부천시 원미구","41192","37037"
"202410","경기도 성남시 분당구","41135","53843"
"202410","경기도 성남시 수정구","41131","36423"
"202410","경기도 성남시 중원구","41133","35372"
"202410","경기도 수원시 권선구","41113","37437"
"202410","경기도 수원시 영통구","41117","47002"
"202410","경기도 수원시 장안구","41111","37455"
"202410","경기도 수원시 팔달구","41115","35857"
"202410","경기도 시흥시","41390","35810"
"202410","경기도 안산시 단원구","41273","34060"
"202410","경기도 안산시 상록구","41271","34220"
"202410","경기도 안성시","41550","34848"
"202410","경기도 안양시 동안구","41173","43220"
"202410","경기도 안양시 만안구","41171","36249"
"202410","경기도 양주시","41630","34261"
"202410","경기도 양평군","41830","36534"
"202410","경기도 여주시","41670","34564"
"202410","경기도 연천군","41800","33881"
"202410","경기도 오산시","41370","37464"
"202410","경기도 용인시 기흥구","41463","43021"
"202410","경기도 용인시 수지구","41465","48944"
"202410","경기도 용인시 처인구","41461","36148"
"202410","경기도 의왕시","41430","40999"
"202410","경기도 의정부시","41150","34893"
"202410","경기도 이천시","41500","38045"
"202410","경기도 파주시","41480","37593"
"202410","경기도 평택시","41220","37620"
"202410","경기도 포천시","41650","32570"
"202410","경기도 하남시","41450","42277"
"202410","경기도 화성시","41590","42796"
"202410","경상남도 거제시","48310","38975"
"202410","경상남도 거창군","48880","34116"
"202410","경상남도 고성군","48820","33890"
"202410","경상남도 김해시","48250","36499"
"202410","경상남도 남해군","48840","31861"
"202410","경상남도 밀양시","48270","33017"
"202410","경상남도 사천시","48240","35373"
"202410","경상남도 산청군","48860","32850"
"202410","경상남도 양산시","48330","36081"
"202410","경상남도 의령군","48720","32592"
"202410","경상남도 진주시","48170","36766"
"202410","경상남도 창녕군","48740","33059"
"202410","경상남도 창원시 마산합포구","48125","34801"
"202410","경상남도 창원시 마산회원구","48127","35069"
"202410","경상남도 창원시 성산구","48123","41744"
"202410","경상남도 창원시 의창구","48121","36481"
"202410","경상남도 창원시 진해구","48129","37281"
"202410","경상남도 통영시","48220","33909"
"202410","경상남도 하동군","48850","32488"
"202410","경상남도 함안군","48730","34107"
"202410","경상남도 함양군","48870","32940"
"202410","경상남도 합천군","48890","32412"
"202410","경상북도 경산시","47290","32762"
"202410","경상북도 경주시","47130","34739"
"202410","경상북도 고령군","47830","32586"
"202410","경상북도 구미시","47190","37910"
"202410","경상북도 김천시","47150","35428"
"202410","경상북도 문경시","47280","33438"
"202410","경상북도 봉화군","47920","32887"
"202410","경상북도 상주시","47250","33070"
"202410","경상북도 성주군","47840","32651"
"202410","경상북도 안동시","47170","34266"
"202410","경상북도 영덕군","47770","31260"
"202410","경상북도 영양군","47760","32169"
"202410","경상북도 영주시","47210","34244"
"202410","경상북도 영천시","47230","33074"
"202410","경상북도 예천군","47900","35543"
"202410","경상북도 울릉군","47940","34557"
"202410","경상북도 울진군","47930","34738"
"202410","경상북도 의성군","47730","31517"
"202410","경상북도 청도군","47820","32476"
"202410","경상북도 청송군","47750","32535"
"202410","경상북도 칠곡군","47850","34916"
"202410","경상북도 포항시 남구","47111","37836"
